city,taluka,area
Beed,Beed West,Chinchwad Road
Latur,Latur East,Kondhwa Layout 10
Nanded,Nanded West,Lower Parel Colony
Parbhani,Parbhani Taluka-2,Akurdi Society
Raigad,Raigad West,Shivaji Nagar Layout
Ratnagiri,Ratnagiri Central,Kondhwa Road
Sindhudurg,Sindhudurg West,Chinchwad Colony
Palghar,Palghar South,Baner Colony
Buldhana,Buldhana North,Vijaygaon Residential
Nandurbar,Nandurbar Central,Bavdhan Colony
Dhule,Dhule East,Lohegaon Road
Jalna,Jalna South,Gardenbagh West
Osmanabad,Osmanabad Taluka-2,Koregaon Park Market
Hingoli,Hingoli Rural,Rajapeth Central
Washim,Washim Urban,Bhosari Nagar
Yavatmal,Yavatmal Taluka-3,Yerawada Layout 7
Bhandara,Bhandara East,Gandhibasti Central
Gondia,Gondia North,Chinchwad Society
Gadchiroli,Gadchiroli North,Hinjawadi Society
Chandrapur,Chandrapur Rural,Andheri Bazar
Bid,Bid East,Wagholi Bazar
Miraj,Miraj Taluka-2,Wakad Road
Ichalkaranji,Ichalkaranji Urban,Vasantlayout Residential
Pandharpur,Pandharpur Taluka-3,Nigdi Layout
Pune,Pune Rural,Sus Bazar
Mumbai,Mumbai Urban,Aundh Market
Nagpur,Nagpur South,Vasantbagh Extension
Nashik,Nashik North,Gayatrimarket South
Aurangabad,Aurangabad Urban,Saipeth South 15
Kolhapur,Kolhapur Taluka-1,Vasantnagar Residential
Solapur,Solapur Urban,Kasba Peth Road
Sangli,Sangli Central,Narhe Road
Satara,Satara South,Rampeth Industrial
Jalgaon,Jalgaon Urban,Magarpatta Society
Amravati,Amravati Central,Sagarpeth South
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Kothrud Layout
Thane,Thane Taluka-3,Lohegaon Colony
Navi Mumbai,Navi Mumbai East,Krishnanagar Residential
Akola,Akola Urban,Worli Society
Wardha,Wardha West,Kharadi 12
Beed,Beed Urban,Colaba Colony
Latur,Latur Urban,Khar Bazar
Nanded,Nanded Taluka-3,Nigdi Society
Parbhani,Parbhani Rural,Rajagalli North
Raigad,Raigad Taluka-3,Fursungi Bazar
Ratnagiri,Ratnagiri Taluka-2,Udaynagar East
Sindhudurg,Sindhudurg West,Pashan
Palghar,Palghar Taluka-1,Vijaypeth Industrial
Buldhana,Buldhana North,Kothrud Nagar
Nandurbar,Nandurbar Taluka-2,Pashan Colony
Dhule,Dhule West,Ambegaon Bazar
Jalna,Jalna Rural,Narhe Society
Osmanabad,Osmanabad Taluka-1,Chinchwad Market
Hingoli,Hingoli Taluka-2,Shantimandi Phase-1 16
Washim,Washim Taluka-3,Shantivihar Residential 14
Yavatmal,Yavatmal Taluka-3,Juhu
Bhandara,Bhandara North,Santgalli North
Gondia,Gondia Taluka-1,Colaba Market
Gadchiroli,Gadchiroli West,Newpur South
Chandrapur,Chandrapur Taluka-3,Balewadi Bazar
Bid,Bid Urban,Netajipura Industrial
Miraj,Miraj Taluka-1,Netajicolony East
Ichalkaranji,Ichalkaranji East,Lohegaon Road
Pandharpur,Pandharpur South,Anandwadi Extension
Pune,Pune Taluka-3,Dhayari Market 8
Mumbai,Mumbai Taluka-3,Rajbagh South
Nagpur,Nagpur South,Narhe Nagar
Nashik,Nashik West,Kurla Market
Aurangabad,Aurangabad North,Vile Parle Nagar
Kolhapur,Kolhapur Urban,Andheri Nagar
Solapur,Solapur South,Lower Parel Road
Sangli,Sangli North,Baner
Satara,Satara East,Lakepura East
Jalgaon,Jalgaon South,Prakashnagar West
Amravati,Amravati Central,Riverpura North
Pimpri-Chinchwad,Pimpri-Chinchwad North,Kurla Market
Thane,Thane Taluka-3,Shivaji Nagar Bazar 2
Navi Mumbai,Navi Mumbai East,Shivbagh West 5
Akola,Akola Central,Lower Parel Layout
Wardha,Wardha North,Aundh Bazar
Beed,Beed Rural,Lower Parel
Latur,Latur Taluka-1,Nigdi Nagar
Nanded,Nanded Taluka-2,Hadapsar Bazar
Parbhani,Parbhani Taluka-2,Koregaon Park Colony
Raigad,Raigad Taluka-3,Borivali Layout
Ratnagiri,Ratnagiri Central,Anandmandi East
Sindhudurg,Sindhudurg Taluka-3,Anandwadi Phase-1
Palghar,Palghar Urban,Shantinagar Phase-2
Buldhana,Buldhana West,Shantimarket East
Nandurbar,Nandurbar Central,Akurdi Colony
Dhule,Dhule East,Rammarket North
Jalna,Jalna South,Vijaypura North
Osmanabad,Osmanabad East,Oldpura Phase-1 20
Hingoli,Hingoli East,Viman Nagar Market
Washim,Washim Taluka-2,Santlayout Phase-2
Yavatmal,Yavatmal Urban,Nigdi Society
Bhandara,Bhandara Central,Juhu Market
Gondia,Gondia Taluka-1,Pimple Saudagar
Gadchiroli,Gadchiroli Central,Akurdi Market 6
Chandrapur,Chandrapur Taluka-1,Shreepura Phase-1
Bid,Bid Central,Dadar Nagar
Miraj,Miraj North,Santpur East
Ichalkaranji,Ichalkaranji South,Borivali Road
Pandharpur,Pandharpur Taluka-3,Ganeshlayout Extension 10
Pune,Pune Central,Ghatkopar Market
Mumbai,Mumbai Taluka-2,Krishnachowk West
Nagpur,Nagpur West,Wakad Colony
Nashik,Nashik East,Shivbagh North 8
Aurangabad,Aurangabad Taluka-3,Rivermarket South
Kolhapur,Kolhapur Central,FC Road
Solapur,Solapur Taluka-1,Saivihar Phase-2
Sangli,Sangli West,Khar Society
Satara,Satara Taluka-1,Shivaji Nagar Layout 18
Jalgaon,Jalgaon Rural,Manjari
Amravati,Amravati West,Borivali Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad Urban,Wanowrie Market
Thane,Thane East,Vile Parle Nagar
Navi Mumbai,Navi Mumbai Central,Newmandi North
Akola,Akola Urban,Ganeshbasti Phase-1
Wardha,Wardha West,Magarpatta Society
Beed,Beed West,Krishnanagar South
Latur,Latur East,Dadar Nagar
Nanded,Nanded South,Sus Nagar
Parbhani,Parbhani North,Pimpri Market
Raigad,Raigad Taluka-3,Santcolony West
Ratnagiri,Ratnagiri Taluka-2,Newchowk West
Sindhudurg,Sindhudurg Taluka-3,Kasba Peth Nagar
Palghar,Palghar South,Ganeshcolony West 14
Buldhana,Buldhana South,Lakevihar East 6
Nandurbar,Nandurbar East,Pimpri Society
Dhule,Dhule Rural,Kasba Peth Bazar
Jalna,Jalna South,Vasantchowk Industrial
Osmanabad,Osmanabad East,Chembur Layout
Hingoli,Hingoli East,Oldpur North
Washim,Washim Taluka-3,Nigdi
Yavatmal,Yavatmal Rural,Kasba Peth Nagar
Bhandara,Bhandara East,Sagarpur Residential
Gondia,Gondia Taluka-3,Shivwadi East
Gadchiroli,Gadchiroli North,Kalyani Nagar Market
Chandrapur,Chandrapur Taluka-3,Worli Nagar
Bid,Bid Urban,Kothrud Market
Miraj,Miraj North,Mulund Society
Ichalkaranji,Ichalkaranji Taluka-2,Saimarket Phase-2
Pandharpur,Pandharpur Urban,Koregaon Park Nagar
Pune,Pune Central,Vasantgalli South
Mumbai,Mumbai Urban,Rajgaon Extension
Nagpur,Nagpur West,Vasantcolony East 15
Nashik,Nashik West,Aundh Society
Aurangabad,Aurangabad Urban,Kasba Peth Nagar
Kolhapur,Kolhapur North,Wanowrie
Solapur,Solapur South,Akurdi Layout 1
Sangli,Sangli East,Greenwadi Phase-2
Satara,Satara Taluka-1,Shivaji Nagar Road
Jalgaon,Jalgaon Taluka-3,Mulund Society
Amravati,Amravati West,Narhe Layout
Pimpri-Chinchwad,Pimpri-Chinchwad West,Udaypura Phase-2
Thane,Thane Taluka-3,Gayatrimandi West
Navi Mumbai,Navi Mumbai East,Gardenwadi Extension 16
Akola,Akola Central,Akurdi Road
Wardha,Wardha Taluka-3,Prakashwadi North
Beed,Beed West,Wakad
Latur,Latur East,Santpur Industrial
Nanded,Nanded Central,Byculla Road
Parbhani,Parbhani Urban,Kurla Nagar
Raigad,Raigad Rural,Hadapsar Colony
Ratnagiri,Ratnagiri Taluka-1,Colaba Bazar
Sindhudurg,Sindhudurg Taluka-3,Colaba Market 3
Palghar,Palghar North,Bavdhan
Buldhana,Buldhana Urban,Sailayout Industrial
Nandurbar,Nandurbar Central,Sus Society
Dhule,Dhule Urban,Sagargaon Residential 13
Jalna,Jalna Taluka-1,Katraj Nagar
Osmanabad,Osmanabad Taluka-1,Manjari
Hingoli,Hingoli Taluka-1,Kasba Peth Nagar
Washim,Washim Taluka-2,Aundh Nagar
Yavatmal,Yavatmal West,Baner 17
Bhandara,Bhandara Taluka-2,Santbasti Extension
Gondia,Gondia Rural,Undri Road 1
Gadchiroli,Gadchiroli West,Mulund Layout
Chandrapur,Chandrapur Taluka-3,Bandra Road
Bid,Bid Taluka-2,Ramcolony West
Miraj,Miraj Taluka-1,Koregaon Park Nagar
Ichalkaranji,Ichalkaranji East,Baner Society
Pandharpur,Pandharpur North,Shivchowk Phase-2
Pune,Pune East,Bavdhan
Mumbai,Mumbai West,Oldchowk Extension
Nagpur,Nagpur Taluka-1,Camp Society
Nashik,Nashik East,Vasantmandi Phase-1
Aurangabad,Aurangabad Taluka-3,Ramvihar West
Kolhapur,Kolhapur Central,Gandhinagar East
Solapur,Solapur Taluka-1,Juhu Road 11
Sangli,Sangli North,Magarpatta Bazar
Satara,Satara Taluka-2,Shantiwadi West
Jalgaon,Jalgaon South,Netajimandi Residential
Amravati,Amravati East,Kasba Peth Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad West,Kharadi
Thane,Thane East,Krishnawadi Residential
Navi Mumbai,Navi Mumbai Urban,Shivaji Nagar Road
Akola,Akola Urban,Newnagar West
Wardha,Wardha North,Andheri Society
Beed,Beed Urban,Narhe Society
Latur,Latur East,Prakashcolony East
Nanded,Nanded West,Pimpri Nagar
Parbhani,Parbhani Rural,Viman Nagar Market 3
Raigad,Raigad Urban,Hinjawadi Bazar
Ratnagiri,Ratnagiri Taluka-1,Dadar Road
Sindhudurg,Sindhudurg West,FC Road Society
Palghar,Palghar Taluka-1,Hilllayout Phase-2
Buldhana,Buldhana South,Anandbasti Central
Nandurbar,Nandurbar East,Oldchowk Industrial
Dhule,Dhule Taluka-1,Prakashpura Phase-2
Jalna,Jalna Rural,Oldcolony Industrial
Osmanabad,Osmanabad Taluka-2,Hadapsar Nagar
Hingoli,Hingoli Taluka-2,Prakashmarket North
Washim,Washim East,Rivervihar Phase-1
Yavatmal,Yavatmal West,Shantibasti Phase-2
Bhandara,Bhandara Central,Hillchowk North
Gondia,Gondia North,Pimple Saudagar Nagar
Gadchiroli,Gadchiroli Taluka-2,Aundh Market
Chandrapur,Chandrapur East,Krishnapeth West
Bid,Bid East,Borivali Bazar 6
Miraj,Miraj Central,Wagholi Bazar
Ichalkaranji,Ichalkaranji South,Gayatrinagar West
Pandharpur,Pandharpur North,Gardengaon Central
Pune,Pune West,Sagarmarket West
Mumbai,Mumbai Taluka-2,Khar Colony
Nagpur,Nagpur Taluka-1,Kondhwa Road
Nashik,Nashik Rural,Wagholi Society
Aurangabad,Aurangabad South,Baner Nagar
Kolhapur,Kolhapur South,Kharadi Society
Solapur,Solapur South,Krishnacolony South
Sangli,Sangli Urban,Gardenpur Phase-1
Satara,Satara Taluka-2,Lakepeth South 17
Jalgaon,Jalgaon South,Hinjawadi Nagar
Amravati,Amravati Taluka-2,Shivcolony Industrial 5
Pimpri-Chinchwad,Pimpri-Chinchwad Rural,Santmandi Extension
Thane,Thane South,Sagarmarket North
Navi Mumbai,Navi Mumbai Urban,Ghatkopar Layout
Akola,Akola Urban,Magarpatta Layout
Wardha,Wardha East,Akurdi Bazar
Beed,Beed Rural,Gayatripeth Residential
Latur,Latur East,Borivali Road
Nanded,Nanded South,Newpura Industrial
Parbhani,Parbhani Taluka-3,Wanowrie Road 1
Raigad,Raigad Taluka-3,Worli Colony
Ratnagiri,Ratnagiri Taluka-1,Shreemarket Phase-2
Sindhudurg,Sindhudurg South,Wagholi Society
Palghar,Palghar Taluka-1,Kothrud Road
Buldhana,Buldhana Taluka-1,Hadapsar
Nandurbar,Nandurbar East,Nigdi
Dhule,Dhule East,Aundh
Jalna,Jalna Taluka-1,Pashan Society
Osmanabad,Osmanabad West,Saibasti Phase-2
Hingoli,Hingoli Taluka-2,Gayatripur Phase-1
Washim,Washim Urban,Kurla Market
Yavatmal,Yavatmal South,Borivali Colony
Bhandara,Bhandara Taluka-3,Oldgalli South
Gondia,Gondia Rural,Wakad Colony
Gadchiroli,Gadchiroli Taluka-2,Dhayari
Chandrapur,Chandrapur Central,Udaycolony Extension
Bid,Bid Central,Greengaon North
Miraj,Miraj Taluka-2,Chinchwad Road
Ichalkaranji,Ichalkaranji Central,Vijaymarket Central
Pandharpur,Pandharpur Urban,Gardenmandi Phase-1
Pune,Pune Urban,Newchowk South
Mumbai,Mumbai Rural,Krishnapur Phase-2 19
Nagpur,Nagpur South,Bandra Bazar 10
Nashik,Nashik Urban,Prakashmarket East
Aurangabad,Aurangabad North,Saipeth Central 12
Kolhapur,Kolhapur North,Oldlayout East
Solapur,Solapur Taluka-1,Shivnagar Extension
Sangli,Sangli Central,Sus Layout
Satara,Satara Central,Pashan Layout
Jalgaon,Jalgaon North,Pashan Colony
Amravati,Amravati Taluka-3,Byculla Colony
Pimpri-Chinchwad,Pimpri-Chinchwad North,Ganeshvihar Residential
Thane,Thane Urban,Balewadi Colony
Navi Mumbai,Navi Mumbai Central,Sagarbagh Industrial 3
Akola,Akola East,Sagargaon South
Wardha,Wardha Taluka-1,Kalyani Nagar Nagar 6
Beed,Beed Rural,Shantinagar Phase-1
Latur,Latur East,Shivaji Nagar Bazar
Nanded,Nanded West,Gardenchowk Industrial
Parbhani,Parbhani Taluka-2,Khar Society
Raigad,Raigad Urban,Prakashmandi West
Ratnagiri,Ratnagiri Taluka-1,Santpeth Phase-2 16
Sindhudurg,Sindhudurg West,Udaymandi Extension
Palghar,Palghar South,Prakashcolony Phase-1
Buldhana,Buldhana East,Shivpur West
Nandurbar,Nandurbar West,Rajavihar Extension
Dhule,Dhule Urban,Borivali Bazar 6
Jalna,Jalna South,Nigdi Colony
Osmanabad,Osmanabad East,Shivnagar Phase-2
Hingoli,Hingoli East,Pimpri Colony
Washim,Washim Urban,Kothrud Society
Yavatmal,Yavatmal Urban,Newpeth Phase-2
Bhandara,Bhandara Central,Rajagalli North
Gondia,Gondia Central,Aundh
Gadchiroli,Gadchiroli East,Undri Colony 11
Chandrapur,Chandrapur Taluka-3,Vile Parle Layout
Bid,Bid Taluka-2,Krishnamandi South
Miraj,Miraj Taluka-2,Kurla Market
Ichalkaranji,Ichalkaranji East,Ambegaon Bazar
Pandharpur,Pandharpur North,Bhosari Layout 19
Pune,Pune West,Udaynagar Residential
Mumbai,Mumbai Urban,Aundh Nagar
Nagpur,Nagpur West,Colaba
Nashik,Nashik North,Gayatrilayout East
Aurangabad,Aurangabad Central,Manjari Society
Kolhapur,Kolhapur Taluka-1,Saipeth Central
Solapur,Solapur Rural,Andheri
Sangli,Sangli East,Rivercolony North
Satara,Satara West,Sus Colony
Jalgaon,Jalgaon Taluka-1,Newnagar Industrial
Amravati,Amravati East,Wakad 1
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Pimpri Layout
Thane,Thane Taluka-2,Lakegalli Phase-1
Navi Mumbai,Navi Mumbai Taluka-2,Vasantgaon Phase-1
Akola,Akola East,Lakepeth West
Wardha,Wardha Taluka-2,Gayatricolony Phase-2
Beed,Beed North,Ramcolony Residential 4
Latur,Latur Taluka-1,Wakad Bazar
Nanded,Nanded Taluka-3,Shreenagar Extension
Parbhani,Parbhani Rural,Lohegaon Colony 5
Raigad,Raigad North,Shivmarket Phase-1
Ratnagiri,Ratnagiri Taluka-1,Mulund Bazar
Sindhudurg,Sindhudurg West,Ambegaon Market 4
Palghar,Palghar Taluka-1,FC Road Nagar
Buldhana,Buldhana East,Pimple Saudagar Layout
Nandurbar,Nandurbar Rural,Ganeshcolony Residential
Dhule,Dhule South,Shivbagh Central
Jalna,Jalna Taluka-1,Juhu Society 16
Osmanabad,Osmanabad Taluka-1,Magarpatta Nagar
Hingoli,Hingoli East,Wagholi Colony 16
Washim,Washim East,Colaba
Yavatmal,Yavatmal Urban,Aundh Colony
Bhandara,Bhandara South,Bavdhan Road
Gondia,Gondia Taluka-1,Krishnavihar Phase-1
Gadchiroli,Gadchiroli West,Gandhibagh South
Chandrapur,Chandrapur Rural,Newlayout South
Bid,Bid Taluka-2,Vijaybagh Residential
Miraj,Miraj West,Shivaji Nagar Society
Ichalkaranji,Ichalkaranji Rural,Dadar Society 18
Pandharpur,Pandharpur South,Vijaybagh South
Pune,Pune South,Anandwadi Central
Mumbai,Mumbai Taluka-2,Kalyani Nagar Bazar 12
Nagpur,Nagpur Taluka-1,Kalyani Nagar Layout
Nashik,Nashik South,Gayatrichowk Phase-1
Aurangabad,Aurangabad Taluka-3,Undri Bazar
Kolhapur,Kolhapur Taluka-2,Kasba Peth Bazar
Solapur,Solapur Taluka-1,Vasantbasti Phase-1 6
Sangli,Sangli East,Chinchwad Nagar
Satara,Satara North,Bandra Layout
Jalgaon,Jalgaon Central,Wakad Society
Amravati,Amravati West,Katraj Layout
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-1,Chinchwad Nagar
Thane,Thane Urban,Sagarpur North
Navi Mumbai,Navi Mumbai Taluka-2,Santbasti West
Akola,Akola Urban,Aundh Colony 13
Wardha,Wardha North,Kharadi Bazar
Beed,Beed North,Lakewadi East
Latur,Latur Taluka-1,Anandmarket Phase-2
Nanded,Nanded West,Hillmarket East 12
Parbhani,Parbhani West,Wagholi Colony
Raigad,Raigad Urban,Katraj Market
Ratnagiri,Ratnagiri West,Sus Bazar 17
Sindhudurg,Sindhudurg West,Greenbasti Phase-1
Palghar,Palghar South,Byculla Society
Buldhana,Buldhana East,Prakashnagar Extension
Nandurbar,Nandurbar West,Chinchwad Bazar
Dhule,Dhule West,Rajavihar Phase-2
Jalna,Jalna Rural,Pashan Market
Osmanabad,Osmanabad Rural,Chembur Layout
Hingoli,Hingoli Rural,Lakelayout Phase-2
Washim,Washim Taluka-2,Saimandi East
Yavatmal,Yavatmal Urban,Manjari Market
Bhandara,Bhandara Taluka-3,Rajalayout Central
Gondia,Gondia Urban,Sailayout South
Gadchiroli,Gadchiroli West,Bavdhan Colony
Chandrapur,Chandrapur Taluka-2,Udaywadi Central
Bid,Bid Central,Dadar Bazar
Miraj,Miraj Taluka-2,Kurla Layout
Ichalkaranji,Ichalkaranji Central,Dhayari Nagar
Pandharpur,Pandharpur Taluka-2,Rajanagar Phase-1
Pune,Pune East,Anandmandi Industrial
Mumbai,Mumbai West,Newpur Residential
Nagpur,Nagpur Taluka-1,Oldnagar North
Nashik,Nashik West,Wakad Market
Aurangabad,Aurangabad South,Juhu
Kolhapur,Kolhapur South,Ganeshnagar West
Solapur,Solapur Rural,Newwadi Residential
Sangli,Sangli Central,Baner Road
Satara,Satara West,Pashan Society
Jalgaon,Jalgaon Central,Dhayari Layout
Amravati,Amravati Central,Wakad Bazar
Pimpri-Chinchwad,Pimpri-Chinchwad South,Vasantnagar East
Thane,Thane Central,Wakad
Navi Mumbai,Navi Mumbai Taluka-1,Gandhibagh North
Akola,Akola Central,Narhe Market
Wardha,Wardha Taluka-3,Vile Parle Colony
Beed,Beed West,Mulund Nagar
Latur,Latur Taluka-1,Saibasti Extension
Nanded,Nanded South,Newpur East 14
Parbhani,Parbhani Urban,Akurdi Bazar
Raigad,Raigad Rural,Colaba Road
Ratnagiri,Ratnagiri West,Andheri Bazar
Sindhudurg,Sindhudurg Taluka-1,Vijaybasti Phase-2
Palghar,Palghar Taluka-1,Saibagh West 15
Buldhana,Buldhana Taluka-2,Dhayari Nagar
Nandurbar,Nandurbar Taluka-2,Ganeshbagh Phase-1
Dhule,Dhule Urban,Ghatkopar Colony
Jalna,Jalna Taluka-1,Magarpatta Bazar
Osmanabad,Osmanabad East,Pimple Saudagar Society
Hingoli,Hingoli East,Shreemandi Phase-2
Washim,Washim Taluka-2,Kharadi Society
Yavatmal,Yavatmal Taluka-3,Gardenmarket Phase-2 1
Bhandara,Bhandara West,Shantipeth Phase-1
Gondia,Gondia Central,Anandvihar North
Gadchiroli,Gadchiroli West,Anandgaon Industrial 20
Chandrapur,Chandrapur Taluka-1,Hinjawadi Road
Bid,Bid Taluka-2,Camp Nagar
Miraj,Miraj Taluka-2,Shivlayout Phase-2 10
Ichalkaranji,Ichalkaranji North,Ramchowk Central
Pandharpur,Pandharpur Rural,Koregaon Park Market
Pune,Pune West,Worli Layout
Mumbai,Mumbai Taluka-3,Khar Layout
Nagpur,Nagpur South,Santpeth East
Nashik,Nashik West,Shivpura West
Aurangabad,Aurangabad Taluka-3,Ghatkopar Society
Kolhapur,Kolhapur North,Hinjawadi Layout 8
Solapur,Solapur South,Vijaywadi Central
Sangli,Sangli East,Bavdhan Road
Satara,Satara Taluka-1,Hadapsar
Jalgaon,Jalgaon West,Koregaon Park Society
Amravati,Amravati Taluka-2,Bandra Layout
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Dadar Layout
Thane,Thane Urban,Mulund Nagar
Navi Mumbai,Navi Mumbai Central,Krishnawadi Phase-2 3
Akola,Akola Urban,Newpur East 19
Wardha,Wardha Taluka-3,Yerawada Bazar
Beed,Beed Rural,Viman Nagar Colony
Latur,Latur Taluka-2,Chembur Society
Nanded,Nanded Taluka-3,Bavdhan
Parbhani,Parbhani Urban,Manjari Market
Raigad,Raigad North,Gardenmandi North
Ratnagiri,Ratnagiri Taluka-1,Ramgaon Central 2
Sindhudurg,Sindhudurg Taluka-1,Narhe Layout
Palghar,Palghar North,Chinchwad Society
Buldhana,Buldhana East,Kalyani Nagar
Nandurbar,Nandurbar Central,Ambegaon Road 9
Dhule,Dhule Rural,Khar Colony
Jalna,Jalna Rural,Borivali Market
Osmanabad,Osmanabad West,Lohegaon Society
Hingoli,Hingoli Taluka-1,Udaynagar South
Washim,Washim Urban,Shreepeth Extension
Yavatmal,Yavatmal South,Lohegaon Colony
Bhandara,Bhandara Taluka-2,Ambegaon Layout
Gondia,Gondia Urban,Sus Bazar
Gadchiroli,Gadchiroli Taluka-2,Colaba
Chandrapur,Chandrapur Taluka-3,Rajgalli East
Bid,Bid Central,Kharadi Layout
Miraj,Miraj West,Juhu Colony
Ichalkaranji,Ichalkaranji Rural,Hinjawadi Nagar
Pandharpur,Pandharpur North,Kondhwa Colony
Pune,Pune South,Gandhibagh Extension 2
Mumbai,Mumbai West,Rajwadi Phase-1
Nagpur,Nagpur South,Balewadi Nagar
Nashik,Nashik East,Gayatribagh South
Aurangabad,Aurangabad North,Hadapsar Colony
Kolhapur,Kolhapur Urban,FC Road Layout
Solapur,Solapur South,Prakashpura Residential
Sangli,Sangli East,Aundh Society
Satara,Satara East,Saigalli Industrial 13
Jalgaon,Jalgaon South,Shreenagar Industrial
Amravati,Amravati Taluka-2,Andheri Nagar
Pimpri-Chinchwad,Pimpri-Chinchwad South,Udaypeth North 8
Thane,Thane South,Gardenbasti East
Navi Mumbai,Navi Mumbai Urban,Manjari Layout 13
Akola,Akola Taluka-2,Kasba Peth Nagar 5
Wardha,Wardha Taluka-2,Bavdhan Bazar 2
Beed,Beed West,Gardenmarket Phase-1
Latur,Latur Taluka-1,Riverpura Phase-2
Nanded,Nanded Taluka-2,Ramcolony West
Parbhani,Parbhani Rural,Hadapsar Layout
Raigad,Raigad Taluka-3,Gayatrinagar East
Ratnagiri,Ratnagiri Central,Vile Parle Layout
Sindhudurg,Sindhudurg Taluka-3,Saicolony East
Palghar,Palghar Taluka-1,Pimple Saudagar Road
Buldhana,Buldhana Taluka-1,Gandhipeth Residential
Nandurbar,Nandurbar Taluka-2,Ambegaon Colony
Dhule,Dhule Taluka-2,Katraj Road
Jalna,Jalna Rural,Magarpatta Road
Osmanabad,Osmanabad North,Nigdi Nagar 19
Hingoli,Hingoli Taluka-2,Kurla Bazar
Washim,Washim Taluka-2,Ghatkopar Layout
Yavatmal,Yavatmal Rural,Koregaon Park 3
Bhandara,Bhandara North,Colaba 1
Gondia,Gondia Rural,Nigdi Society
Gadchiroli,Gadchiroli West,Sagarpur South 15
Chandrapur,Chandrapur East,Gayatripeth West
Bid,Bid East,Anandvihar North
Miraj,Miraj Taluka-3,Shantipeth Phase-2
Ichalkaranji,Ichalkaranji Taluka-1,Ambegaon Bazar
Pandharpur,Pandharpur Taluka-2,Katraj Colony
Pune,Pune Urban,Chembur
Mumbai,Mumbai Rural,Rivermandi Residential
Nagpur,Nagpur Taluka-1,Santmandi Phase-2
Nashik,Nashik Rural,Rajbagh South
Aurangabad,Aurangabad Urban,Aundh Nagar
Kolhapur,Kolhapur Urban,Dhayari Road 4
Solapur,Solapur Central,Baner Road
Sangli,Sangli Taluka-3,Worli Nagar
Satara,Satara Taluka-1,FC Road Colony 6
Jalgaon,Jalgaon Taluka-1,Sus Nagar
Amravati,Amravati Central,Pashan Society
Pimpri-Chinchwad,Pimpri-Chinchwad Taluka-2,Saigalli Residential 8
Thane,Thane South,Hillbasti Phase-2 17
Navi Mumbai,Navi Mumbai Taluka-1,Shivaji Nagar Bazar
Akola,Akola Urban,Pashan Bazar
Wardha,Wardha Rural,Nigdi Society 17
Beed,Beed Urban,Fursungi Bazar
Latur,Latur East,Viman Nagar Colony
Nanded,Nanded Taluka-3,Katraj
Parbhani,Parbhani Taluka-3,Kondhwa Nagar
Raigad,Raigad Urban,Kalyani Nagar Market
Ratnagiri,Ratnagiri Taluka-1,Kharadi Bazar
Sindhudurg,Sindhudurg South,Sus Society
Palghar,Palghar Taluka-1,Shreepur Residential 18
Buldhana,Buldhana Taluka-1,Gayatrinagar Central
Nandurbar,Nandurbar Taluka-1,Krishnagaon North
Dhule,Dhule Taluka-2,Ganeshcolony Extension
Jalna,Jalna Rural,Juhu Layout
Osmanabad,Osmanabad Taluka-1,Aundh Colony
Hingoli,Hingoli Taluka-3,Undri Colony
Washim,Washim East,Koregaon Park Bazar
Yavatmal,Yavatmal West,Rivergalli Extension
Bhandara,Bhandara Central,Anandvihar Residential 20
Gondia,Gondia Taluka-1,Mulund Road
Gadchiroli,Gadchiroli West,Ganeshmarket Central
Chandrapur,Chandrapur East,Lohegaon Layout
Bid,Bid Taluka-2,Udaymarket Phase-1 16
Miraj,Miraj Taluka-2,Wakad Society
Ichalkaranji,Ichalkaranji Taluka-1,Shivaji Nagar Society
Pandharpur,Pandharpur South,Nigdi
Pune,Pune Taluka-2,Lakecolony South
Mumbai,Mumbai West,Juhu Market
Nagpur,Nagpur South,Gandhipur Phase-2
Nashik,Nashik Rural,Anandpura West
Aurangabad,Aurangabad South,Fursungi Colony
Kolhapur,Kolhapur Central,Koregaon Park Layout
Solapur,Solapur North,Anandbasti Residential
Sangli,Sangli East,Bandra Colony
Satara,Satara North,Worli
Jalgaon,Jalgaon Rural,Juhu Nagar
Amravati,Amravati Taluka-2,Dhayari Market
Pimpri-Chinchwad,Pimpri-Chinchwad North,Balewadi Layout
Thane,Thane Taluka-2,Bhosari Layout
Navi Mumbai,Navi Mumbai Taluka-2,Pashan Road 15
Akola,Akola Taluka-2,Ramchowk Phase-1
Wardha,Wardha Rural,Kondhwa Bazar
Beed,Beed Rural,Ganeshgaon South
Latur,Latur Taluka-2,Sagarvihar Phase-1
Nanded,Nanded South,Balewadi Layout
Parbhani,Parbhani Taluka-1,FC Road Bazar
Raigad,Raigad Rural,Gandhimarket Phase-2
Ratnagiri,Ratnagiri Taluka-1,Byculla Layout
Sindhudurg,Sindhudurg Taluka-3,Chembur Layout
Palghar,Palghar Urban,Byculla Society
Buldhana,Buldhana Rural,Kondhwa Market
Nandurbar,Nandurbar East,Riverbagh Central
Dhule,Dhule Taluka-1,Ramlayout East
Jalna,Jalna Taluka-1,Balewadi Market
